sr_no,admission_no,pen_no,name,roll_no,class,class_name,section,class_sec,father_name,mother_name,guardian_name,mobile,contact,contact_phone,address,gender,dob,category,house,transport_opted,uses_transport,bus_route,total_fee,paid_fee,balance_fee,fees_due,status
"SR-2024-1001","ADM-5001","PEN-RJ-2024-952230","Laxman Garg","01","Nursery","Nursery","A","Nursery - A","Jagdish Prasad Garg","Sugan Kanwar","Jagdish Prasad Garg","9460939708","9460939708","9460939708","Sindhari Road, Near Bus Stand, Barmer","Male","2022-09-11","OBC","Ashoka",false,false,"",24000,24000,0,0,"Active"
"SR-2024-1002","ADM-5002","PEN-RJ-2024-600463","Prisha Joshi","02","Nursery","Nursery","A","Nursery - A","Jethmal Joshi","Laxmi Devi","Jethmal Joshi","9828389095","9828389095","9828389095","Indira Colony, Lane 4, Barmer","Female","2022-09-27","OBC","Tagore",false,false,"",24000,24000,0,0,"Active"
"SR-2024-1003","ADM-5003","PEN-RJ-2024-119897","Jaswant Vyas","03","Nursery","Nursery","A","Nursery - A","Nemichand Vyas","Sunita","Nemichand Vyas","9414108265","9414108265","9414108265","Uttarlai Road, Near KV School, Barmer","Male","2022-10-10","SC","Tagore",false,false,"",24000,0,24000,24000,"Active"
"SR-2024-1004","ADM-5004","PEN-RJ-2024-589183","Ram Gehlot","04","Nursery","Nursery","A","Nursery - A","Gopal Gehlot","Chandra Kanwar","Gopal Gehlot","9414749053","9414749053","9414749053","Plot 42, Civil Lines, Barmer","Male","2022-12-10","OBC","Shivaji",false,false,"",24000,18000,6000,6000,"Active"
"SR-2024-1005","ADM-5005","PEN-RJ-2024-544536","Vimla Kumhar","05","Nursery","Nursery","A","Nursery - A","Bhanwar Singh Kumhar","Sharda","Bhanwar Singh Kumhar","9784719753","9784719753","9784719753","Laxmi Nagar, Street 3, Barmer","Female","2022-07-17","ST","Ashoka",false,false,"",24000,24000,0,0,"Active"
"SR-2024-1006","ADM-5006","PEN-RJ-2024-139508","Khimraj Rajput","06","Nursery","Nursery","A","Nursery - A","Sumer Singh Rajput","Manju","Sumer Singh Rajput","9829566197","9829566197","9829566197","Plot 42, Civil Lines, Barmer","Male","2022-05-09","OBC","Tagore",false,false,"",24000,24000,0,0,"Active"
"SR-2024-1007","ADM-5007","PEN-RJ-2024-610392","Rohit Purohit","07","Nursery","Nursery","A","Nursery - A","Mohan Lal Purohit","Urmila","Mohan Lal Purohit","9460307494","9460307494","9460307494","Sindhari Road, Near Bus Stand, Barmer","Male","2022-01-27","ST","Ashoka",true,true,"Route 3 (Station Road - Sadar Bazaar)",36000,14500,21500,21500,"Active"
"SR-2024-1008","ADM-5008","PEN-RJ-2024-501375","Surendra Meghwal","08","Nursery","Nursery","A","Nursery - A","Roopa Ram Meghwal","Rukmani Devi","Roopa Ram Meghwal","9828561965","9828561965","9828561965","Opp. Collectorate, Mahaveer Nagar, Barmer","Male","2022-11-26","SC","Ashoka",false,false,"",24000,24000,0,0,"Active"
"SR-2024-1009","ADM-5009","PEN-RJ-2024-355346","Karan Shekhawat","09","Nursery","Nursery","A","Nursery - A","Sumer Singh Shekhawat","Anand Kanwar","Sumer Singh Shekhawat","9784303268","9784303268","9784303268","Panch Batti Circle, Barmer","Male","2022-06-20","OBC","Tagore",false,false,"",24000,24000,0,0,"Active"
"SR-2024-1010","ADM-5010","PEN-RJ-2024-630415","Rakesh Agarwal","10","Nursery","Nursery","A","Nursery - A","Jethmal Agarwal","Manju","Jethmal Agarwal","9414134009","9414134009","9414134009","Plot 42, Civil Lines, Barmer","Male","2022-01-07","General","Tagore",false,false,"",24000,24000,0,0,"Active"
"SR-2024-1011","ADM-5011","PEN-RJ-2024-470946","Ajay Raika","11","Nursery","Nursery","A","Nursery - A","Suresh Raika","Prem Kanwar","Suresh Raika","9784490352","9784490352","9784490352","Chohtan Circle, Highway Link, Barmer","Male","2022-10-06","ST","Shivaji",true,true,"Route 7 (Sindhari Road - Kalyanpura)",36000,27000,9000,9000,"Active"
"SR-2024-1012","ADM-5012","PEN-RJ-2024-893005","Gopal Choudhary","12","Nursery","Nursery","A","Nursery - A","Chhagan Lal Choudhary","Kamla Devi","Chhagan Lal Choudhary","8769987896","8769987896","8769987896","Sadar Bazaar, Near Old Fort, Barmer","Male","2022-05-28","ST","Raman",false,false,"",24000,12000,12000,12000,"Active"
"SR-2024-1013","ADM-5013","PEN-RJ-2024-711700","Aman Maheshwari","13","Nursery","Nursery","A","Nursery - A","Prem Singh Maheshwari","Pooja","Prem Singh Maheshwari","9460840881","9460840881","9460840881","Plot 42, Civil Lines, Barmer","Male","2022-10-05","OBC","Ashoka",false,false,"",24000,18000,6000,6000,"Active"
"SR-2024-1014","ADM-5014","PEN-RJ-2024-921153","Swati Charan","14","Nursery","Nursery","A","Nursery - A","Khimraj Charan","Nirmala","Khimraj Charan","9460448717","9460448717","9460448717","Jasol Road, Balotra Highway, Barmer","Female","2022-07-05","General","Tagore",false,false,"",24000,24000,0,0,"Active"
"SR-2024-1015","ADM-5015","PEN-RJ-2024-837235","Gopal Panwar","15","Nursery","Nursery","A","Nursery - A","Manak Chand Panwar","Sharda","Manak Chand Panwar","9829795626","9829795626","9829795626","Jasol Road, Balotra Highway, Barmer","Male","2022-12-04","OBC","Shivaji",false,false,"",24000,24000,0,0,"Active"
"SR-2024-1016","ADM-5016","PEN-RJ-2024-993393","Tarun Verma","16","Nursery","Nursery","A","Nursery - A","Dinesh Verma","Sunita","Dinesh Verma","9414511644","9414511644","9414511644","Khatan Kocha, Inside City, Barmer","Male","2022-07-08","OBC","Ashoka",true,true,"Route 4 (Mahaveer Nagar - Collectorate)",36000,0,36000,36000,"Active"
"SR-2024-1017","ADM-5017","PEN-RJ-2024-505839","Paras Panwar","17","Nursery","Nursery","A","Nursery - A","Hanuman Ram Panwar","Sugan Kanwar","Hanuman Ram Panwar","9460437994","9460437994","9460437994","Kalyanpura, Barmer","Male","2022-02-13","OBC","Shivaji",false,false,"",24000,9500,14500,14500,"Active"
"SR-2024-1018","ADM-5018","PEN-RJ-2024-160979","Pooja Soni","18","Nursery","Nursery","A","Nursery - A","Mangi Lal Soni","Bhanwar Kanwar","Mangi Lal Soni","9460562108","9460562108","9460562108","Tilak Nagar, Barmer","Female","2022-06-09","OBC","Raman",true,true,"Route 3 (Station Road - Sadar Bazaar)",36000,21500,14500,14500,"Active"
"SR-2024-1019","ADM-5019","PEN-RJ-2024-586870","Mahendra Lohar","19","Nursery","Nursery","A","Nursery - A","Mangi Lal Lohar","Sita Devi","Mangi Lal Lohar","9829405638","9829405638","9829405638","Baytu Link Road, Barmer","Male","2022-05-20","SC","Tagore",false,false,"",24000,0,24000,24000,"Active"
"SR-2024-1020","ADM-5020","PEN-RJ-2024-507343","Prisha Chauhan","20","Nursery","Nursery","A","Nursery - A","Shaitan Singh Chauhan","Shanti Devi","Shaitan Singh Chauhan","8769159153","8769159153","8769159153","Tilak Nagar, Barmer","Female","2022-08-10","General","Raman",true,true,"Route 8 (Rai Colony - Civil Lines)",36000,36000,0,0,"Active"
"SR-2024-1021","ADM-5021","PEN-RJ-2024-358374","Vijay Kumhar","21","Nursery","Nursery","A","Nursery - A","Kalyan Singh Kumhar","Sushila","Kalyan Singh Kumhar","9829831687","9829831687","9829831687","Panch Batti Circle, Barmer","Male","2022-05-20","SC","Shivaji",false,false,"",24000,18000,6000,6000,"Active"
"SR-2024-1022","ADM-5022","PEN-RJ-2024-866397","Rachna Bishnoi","22","Nursery","Nursery","A","Nursery - A","Bhanwar Singh Bishnoi","Sushila","Bhanwar Singh Bishnoi","9460960982","9460960982","9460960982","Laxmi Nagar, Street 3, Barmer","Female","2022-06-25","OBC","Tagore",false,false,"",24000,18000,6000,6000,"Active"
"SR-2024-1023","ADM-5023","PEN-RJ-2024-210230","Ansh Rajput","23","Nursery","Nursery","A","Nursery - A","Bhagwan Das Rajput","Sugan Kanwar","Bhagwan Das Rajput","9414980713","9414980713","9414980713","Laxmi Nagar, Street 3, Barmer","Male","2022-06-01","SC","Shivaji",true,true,"Route 6 (Uttarlai Road - Airforce Area)",36000,27000,9000,9000,"Active"
